"Activity.Name" "Subject.ID" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()"
"1" "LAYING" 25 0.263855579074627 -0.0156965925328358 -0.109957673170149 -0.951151383537313 -0.940037669313433 -0.948191642537313 -0.367906863880597 0.787431449253731 0.56683607980597 -0.927726949850746 -0.968044387761194 -0.951698122537313 0.085906867880597 0.0120507192510448 -0.00789136327895522 -0.969682777313433 -0.955462330298507 -0.970636721641791 -0.00861699272686567 -0.0999058924567164 0.149313474432836 -0.967110939253731 -0.956302974925373 -0.950853324029851 -0.104558684358209 -0.0406533279173134 -0.0694617595074627 -0.96186344358209 -0.974468278507463 -0.971303849402985 -0.941627301149254 -0.927960859552239 -0.941627301149254 -0.927960859552239 -0.96753639358209 -0.960334320149254 -0.929804771492537 -0.935814826567164 -0.973078802686567 -0.968452165074627 -0.954696463134328 -0.944264507910448 -0.955537028955224 -0.950206284377612 -0.941273881134328 -0.947894023880597 -0.217823517820896 0.20788717969403 0.214142672573134 -0.969666112835821 -0.956705134179105 -0.966573941940299 -0.972607842089552 -0.957332857761194 -0.973370879552239 0.0676513092835821 -0.0011614403761194 0.0832993277029851 -0.955865832686567 -0.959077896567164 -0.946919901791045 -0.971069038507463 -0.955358962089552 -0.956782327313433 0.0904827316268657 -0.130943291731343 0.130634656950746 -0.938025290447761 -0.933447725820896 0.165083478746269 -0.960225619402985 -0.959520514626866 0.228684949519403 -0.948374901791045 -0.938981643134328 0.00583850289104478 -0.969599971492537 -0.969030442985075 0.221714802131343
"2" "LAYING" 26 0.273223894033163 -0.0176170963048469 -0.11094760069898 -0.968522154821429 -0.96522603877551 -0.963579496038265 -0.389094036505102 0.651156781122449 0.645646848260204 -0.95743868057398 -0.983403156632653 -0.967018940767857 0.0791390469632653 0.0119721054673469 -0.00188161466530995 -0.98416776997449 -0.976586807678571 -0.983112066045918 -0.0184263374756122 -0.0992623321789286 0.11969123267602 -0.975009769591837 -0.968404954744898 -0.970732325586735 -0.102378033492857 -0.0367254242010969 -0.063708586377551 -0.980063840433673 -0.98425822627551 -0.987870125102041 -0.964174792964286 -0.953186746875 -0.964174792964286 -0.953186746875 -0.983505782015306 -0.979775290739796 -0.950539174183674 -0.951349084229592 -0.986323970408163 -0.981081874591837 -0.973998580382653 -0.968336529566327 -0.970682302806122 -0.96673518122449 -0.96538401744898 -0.962158716788265 -0.261719945660765 0.171561296540181 0.240115843754082 -0.984033416887755 -0.976674158010204 -0.980472740867347 -0.985836166428571 -0.978277735969388 -0.984388688367347 0.0852503408392347 0.0312197416869388 0.110088099927827 -0.970155917242347 -0.972901064311224 -0.970448869846939 -0.976691235178571 -0.966475115586735 -0.973525590892857 0.0265365912327551 -0.141515116753061 0.143145857629082 -0.962575551946429 -0.95524238680051 0.17809478629898 -0.979606444642857 -0.978923386326531 0.306104328313929 -0.962299031964286 -0.952791822331633 0.0152755499510714 -0.98208564627551 -0.980897635765306 0.216321678171429
"3" "LAYING" 27 0.275089302725532 -0.0088433481112766 -0.113229374736702 -0.957908623537234 -0.927291352848404 -0.933983891656915 -0.391617383231383 0.561848434699468 0.480391456585106 -0.933761029840426 -0.938814029388298 -0.926288438723404 0.084016489074734 0.0131837405136968 -0.00781291465048138 -0.981476751117021 -0.971635288696808 -0.98032643837766 -0.0157543088180319 -0.0865540265462766 0.127722612114362 -0.965067704840425 -0.96337719893617 -0.960631094840426 -0.102799843480319 -0.0382262502066995 -0.0622302123803192 -0.975671747659574 -0.981939997074468 -0.984627846329787 -0.912271525045213 -0.912176896944149 -0.912271525045213 -0.912176896944149 -0.979809861728723 -0.975396528404255 -0.927569855797872 -0.937384833484043 -0.983169372074468 -0.977479116515957 -0.964660631409574 -0.943126924303191 -0.950371019973404 -0.95570134675266 -0.924480342026596 -0.930662762284574 -0.25371931244016 0.116425514529495 0.206067441553989 -0.981314631675532 -0.972146197925532 -0.977433930239362 -0.98342341893617 -0.973170398005319 -0.98186502037234 0.0852047749509308 -0.0218945190657181 0.047361554324016 -0.960168672154255 -0.968086680611702 -0.961795645026596 -0.966944174521277 -0.961317636143617 -0.963952874148936 -0.00738772913569149 -0.118050519819415 0.0881581573139894 -0.935120639824468 -0.914966709148936 0.0918781212216489 -0.975380874521277 -0.97445099212766 0.272440099315691 -0.953564084654255 -0.938424053989362 -0.0359727162595479 -0.978815686968085 -0.977214661648936 0.147092578181676
"4" "LAYING" 28 0.261827392269895 -0.0198125606275916 -0.0989445436992147 -0.951243318675393 -0.931885907751309 -0.92825556233089 -0.36449380565445 0.52546695032199 0.569224053626178 -0.932466680366492 -0.961295765832461 -0.937995015536649 0.0809541101031414 0.00978326378125654 -0.00113026386327225 -0.976344924502618 -0.967191002460733 -0.97353438513089 -0.0188158233895927 -0.106890027654712 0.123040475196597 -0.954593130473822 -0.95285071026178 -0.958762688429319 -0.100955041457068 -0.0368280339041885 -0.0630771592450262 -0.967465725314136 -0.975253123717277 -0.982471551387435 -0.927654164274869 -0.912267701073298 -0.927654164274869 -0.912267701073298 -0.974748762303665 -0.96736777526178 -0.924903852513089 -0.918802807382199 -0.977823975471204 -0.96910798039267 -0.960043383795812 -0.943280371568063 -0.946763883246073 -0.948468078387435 -0.930447658861257 -0.924370939423822 -0.32024111582644 0.0792901419157068 0.145960433596152 -0.976115037984293 -0.967141132303665 -0.970239417120419 -0.978851270837696 -0.969764728141361 -0.975465800104712 0.0930776028689424 -0.0115289628351047 0.041013711276178 -0.947582895576702 -0.958755314240838 -0.959478074581152 -0.957223029293194 -0.950459088507853 -0.96238040526178 -0.0728948712406021 -0.172984148438298 0.089253967789712 -0.934971174020942 -0.915207302530628 0.0112462913903141 -0.967764782434555 -0.966016568979058 0.271741061653927 -0.937760394581152 -0.92132809921466 -0.0862766373303403 -0.970774582146597 -0.969058988638744 0.125042046222565
"5" "LAYING" 29 0.263270315587209 -0.0305687911217442 -0.103404962822674 -0.958726316075581 -0.935962646424419 -0.948052110459302 -0.362963354034884 0.621638933828488 0.584294696281977 -0.938534318680233 -0.952598561552326 -0.954957057171512 0.0835774055453488 0.0148336328368895 -0.011558111753157 -0.980434978255814 -0.97081512122093 -0.979721521133721 -0.0143309173682384 -0.0867614752447674 0.131740180843023 -0.969470296976744 -0.963475809186046 -0.961614839680233 -0.100109421206395 -0.0396736846677326 -0.0660360232148256 -0.97841401375 -0.97947550497093 -0.986525689011628 -0.936120895517442 -0.929058561965116 -0.936120895517442 -0.929058561965116 -0.97904001375 -0.974589132354651 -0.938744105319767 -0.943449330348837 -0.982796764767442 -0.977453475232558 -0.964887734156977 -0.949033634232558 -0.960608831540698 -0.956725704447674 -0.933941475366279 -0.94533729902907 -0.256449224710927 0.137194422693023 0.190247183662616 -0.980219886860465 -0.971065631831395 -0.977025438284884 -0.982530579156977 -0.972709393459302 -0.98101866369186 0.139765927976163 0.00698052613052326 0.0681311299300872 -0.966370571075581 -0.967937496831395 -0.964634222093023 -0.970787177616279 -0.961595027063954 -0.964387434883721 -0.0584554083783605 -0.133654691449709 0.123608803663983 -0.945487531168605 -0.931749231465116 0.0944017465293605 -0.974428447936047 -0.973792818662791 0.282430987523547 -0.958080959534884 -0.944428572325581 -0.0327798844746221 -0.978531184593023 -0.977384791976744 0.140687702174128
"6" "LAYING" 30 0.270115514556136 -0.0163000749830809 -0.109801243581201 -0.969489099451697 -0.95617159767624 -0.965778649295039 -0.366899966389034 0.720248147441253 0.496007613723238 -0.956103545613577 -0.976994001243081 -0.972568732689295 0.0811168715947781 0.00632254487596084 -0.00218190684534726 -0.981282171644909 -0.972090427650131 -0.982174498668407 -0.0174216673545901 -0.0855447517023499 0.123900685924282 -0.975365044360313 -0.968941624412533 -0.967591518146214 -0.102431773109661 -0.0392893269479896 -0.0634097105953003 -0.981613203289817 -0.982314194073107 -0.984871394020888 -0.963629232349869 -0.95361769486423 -0.963629232349869 -0.95361769486423 -0.98086244075718 -0.976415444438642 -0.951445806736292 -0.952753167597911 -0.985124687467363 -0.980067551723238 -0.972167649060052 -0.960148316422976 -0.972046585509138 -0.968566537362924 -0.956492848772846 -0.964546168120104 -0.211722139069303 0.197494613184204 0.229345198362689 -0.981069518511749 -0.972304961697128 -0.979607081618799 -0.983316052375979 -0.973919621592689 -0.983377508668407 0.132753310965535 0.0196090936732872 0.0792643020260052 -0.971621764778068 -0.971614790261097 -0.967428117049608 -0.976718465117493 -0.967904701644909 -0.970659425169713 0.000846923445039165 -0.131019456119843 0.11902587410705 -0.961061046989556 -0.956458462169713 0.192582087636893 -0.976673210626632 -0.975054973759791 0.281394198156136 -0.963786711122715 -0.95401717310705 -0.0148972087786684 -0.981055278929504 -0.97998330462141 0.185517100008616
"7" "SITTING" 8 0.262120498589385 -0.00938457963312849 -0.0952282444162011 -0.971566799162011 -0.905796561284916 -0.89535227901676 0.882729683240223 0.102612377586257 0.165067939502793 -0.964876594804469 -0.942114747877095 -0.918309836150838 0.0761421041960894 0.00202337647845251 -0.00961851997145251 -0.977674755977654 -0.966434939497207 -0.976312511620112 -0.036938281952067 -0.0824352491446927 0.0925883081729609 -0.970291540223464 -0.94761547726257 -0.939198397988827 -0.097714900396648 -0.0402376942477095 -0.0557249032988827 -0.978407801061453 -0.980903593575419 -0.97698839273743 -0.926790722234637 -0.903330805530726 -0.926790722234637 -0.903330805530726 -0.975938479329609 -0.970013640502793 -0.929516925307263 -0.927925085687151 -0.982437694804469 -0.977638369050279 -0.972903362513966 -0.92981218877095 -0.930915919396648 -0.971370891899441 -0.900944130536313 -0.886637102911732 -0.0512179832832402 0.0298519987441341 0.0470885038735754 -0.978110898659218 -0.966823978156425 -0.973327038603352 -0.979257126648045 -0.968471106145251 -0.977889302402235 0.144798307027933 -0.112353508188268 -0.0707012794793296 -0.965669537932961 -0.959602964413408 -0.947963532346369 -0.972052544581006 -0.942343838435754 -0.94250143424581 0.0531287019755307 -0.223764073155307 -0.0403557828617877 -0.927732800631285 -0.906705317206704 0.0833976763083799 -0.970623055083799 -0.968321572011173 0.264635322227933 -0.950246425977654 -0.927454317810056 -0.0883042192094413 -0.979245166703911 -0.977000535027933 0.122020896353128
"8" "SITTING" 11 0.273255861281646 -0.0142281831550633 -0.104019077693038 -0.987739188734177 -0.941528564855475 -0.948591862341772 0.887108304335443 0.100275566348899 0.155138308455886 -0.985682572151899 -0.962495759737342 -0.958070306933544 0.0755183337006329 0.00952349934030759 -0.00206428870259494 -0.98707876943038 -0.975181007246835 -0.983807153987342 -0.0358148638813291 -0.0797648983466139 0.0751909276259494 -0.984924274936709 -0.973730230126582 -0.963374963196203 -0.0959984514018987 -0.0394137693193038 -0.0505926399399684 -0.987130147151899 -0.988143945411392 -0.985555121234177 -0.960983746424051 -0.949390660032278 -0.960983746424051 -0.949390660032278 -0.98361531085443 -0.982267728449367 -0.955917622816456 -0.961004216550633 -0.988971060221519 -0.987273525632911 -0.986792389113924 -0.952623437594937 -0.962866746708861 -0.98822909 -0.939535540544304 -0.944853174905063 -0.0118661717436709 0.0717353727405063 0.107983991785411 -0.987329165601266 -0.97538493056962 -0.981260325379747 -0.988002942056962 -0.976833764683544 -0.984983677879747 0.205034149321835 -0.0554786273148418 0.0239850875964241 -0.981281454778481 -0.97769992414557 -0.965317133924051 -0.98614502835443 -0.97184569693038 -0.966204836044304 0.0896632357025317 -0.195976003057943 -0.021719357681519 -0.959898857943038 -0.951752388446203 0.16423829624757 -0.981760041107595 -0.981861853101266 0.31516719663038 -0.971187227848101 -0.961421064746835 -0.0624557521161392 -0.98764502778481 -0.987424606360759 0.212443671026266
"9" "SITTING" 14 0.277962388421053 -0.0154972943162848 -0.111333162875232 -0.98566920879257 -0.942849091541796 -0.947897084424149 0.890001327708978 0.0868216283532694 0.165101916407399 -0.982629631114551 -0.963115245417957 -0.950903178346749 0.0745286233926625 0.0109814916104613 0.00382752827424149 -0.986642450216718 -0.97629822244582 -0.983961154427245 -0.0393538961213622 -0.0688837512346749 0.0519701710743034 -0.982897809876161 -0.972611465882353 -0.959995405944272 -0.0941424885337461 -0.0406582412673065 -0.0451195629693498 -0.986939874829721 -0.987576985139319 -0.985350419349845 -0.962118172136223 -0.947524910040248 -0.962118172136223 -0.947524910040248 -0.984393534365325 -0.981067757863777 -0.947864079907121 -0.955893532786378 -0.989216019442724 -0.9857257774613 -0.984868156470588 -0.953419363591331 -0.961986339349845 -0.986111616037152 -0.940948734170279 -0.944281553653251 -0.0259164802621981 0.0649665931656347 0.101539647111553 -0.986744536594427 -0.976450647027864 -0.981291076594427 -0.987782632136223 -0.977909485851393 -0.985274779752322 0.19610771719417 -0.066375266219257 0.00965760973869969 -0.978782533839009 -0.976225946780186 -0.962624896006192 -0.984269287894737 -0.970937590495356 -0.962888200557276 0.0724435170152012 -0.200228877108978 -0.0153615451012384 -0.957149057306502 -0.950323514281734 0.127869030432198 -0.980582292043344 -0.980616575758514 0.281587159667492 -0.967178806037152 -0.956489101486068 -0.0736667183188235 -0.986224304674923 -0.985798695263158 0.185492991328328
"10" "SITTING" 15 0.275769790862805 -0.0109538379975305 -0.10307711172561 -0.983736831676829 -0.928439068426829 -0.937909977317073 0.874812146981707 0.125323584440854 0.138360399940427 -0.979755981006098 -0.95100503085061 -0.945350879121951 0.0754209436851524 -0.00254028866967378 -0.00498897864179878 -0.985382395518293 -0.972881770152439 -0.981266847469512 -0.039192501431311 -0.0667890860268293 0.0919462613502744 -0.978836245121951 -0.965034134085366 -0.956858409390244 -0.0952534837195122 -0.0426488790548476 -0.0520543598581707 -0.985945990853659 -0.986491690853659 -0.98343349027439 -0.952976013963415 -0.934516361064024 -0.952976013963415 -0.934516361064024 -0.982054257682927 -0.977592584878049 -0.944002136036585 -0.947339380518293 -0.987965741219512 -0.984093783993902 -0.98328148679878 -0.942226226542683 -0.956477486463415 -0.984098488201219 -0.926163197875 -0.933111028829268 -0.0556696709575305 0.088473624922561 0.0932133997378963 -0.985599490640244 -0.973017618567073 -0.978581566128049 -0.986495133536585 -0.974822664908537 -0.98256169695122 0.179803817705274 -0.0495594107072561 0.0103633787506616 -0.975364952073171 -0.97086624304878 -0.958959561981707 -0.980134681829268 -0.962299207408537 -0.960267853353658 0.0575020684407012 -0.17582048357561 0.0144192247867683 -0.948840500786585 -0.93753092029878 0.133660119356829 -0.977639730091463 -0.976520444329268 0.247641525501159 -0.96079779195122 -0.948214216981707 -0.0508483189253049 -0.98491009777439 -0.98388665722561 0.171353094498902
